state,x,y
Andhra Pradesh,-71,-150
Arunachal Pradesh,231,160
Assam,208,114
Bihar,65,90
Chhattisgarh,-12,-3
Goa,-175,-140
Gujarat,-214,38
Haryana,-125,166
Himachal Pradesh,-69,192
Jharkhand,51,46
Karnataka,-143,-160
Kerala,-126,-246
Madhya Pradesh,-94,38
Maharashtra,-151,-48
Manipur,229,81
Meghalaya,175,93
Mizoram,211,52
Nagaland,239,114
Odisha,40,-19
Punjab,-144,203
Rajasthan,-177,112
Sikkim,115,133
Tamil Nadu,-84,-239
Telangana,-67,-76
Tripura,184,56
Uttar Pradesh,-40,119
Uttarakhand,-69,190
West Bengal,108,40
Delhi,-108,154
